title,amount,due date,link
ExxonMobil Bernard Harris Math and Science Scholarships ,"$5,000 ",04/08/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/exxonmobil-bernard-harris-math-and-science-scholarships
"First Responders Children's Foundation - Vincent Bennett, Jr. Memorial Scholarship","$20,000 ",07/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/first-responders-childrens-foundation-vincent-bennett-jr-memorial-scholarship
Fontana Transport Inc. Scholars Program,"$5,000 ",03/13/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/fontana-transport-inc-scholars-program
Galvanize the Future: A Richard L. Brooks Memorial Scholarship essay contest ,"$2,500 ",03/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/galvanize-the-future-a-richard-l-brooks-memorial-scholarship-essay-contest
Gill-Elliott Scholarship,"$2,000 ",03/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/gill-elliott-scholarship
Google Lime Scholarship,"$10,000 ",12/05/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/google-lime-scholarship
"Hagan Business Machines of Meadville, Inc. Scholarship ","$1,000 ",04/20/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/hagan-business-machines-of-meadville-inc-scholarship
Home Builders Care of Fargo-Moorhead Foundation Scholarships ,"$1,000 ",03/29/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/home-builders-care-of-fargo-moorhead-foundation-scholarships
Howard Bernstein Scholarship Fund,"$5,000 ",01/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/howard-bernstein-scholarship-fund
IEEE Life Members' Fellowship in Electrical History,"$20,000 ",02/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/ieee-life-members-fellowship-in-electrical-history
IFMA Foundation Scholarship Program,"$10,000 ",04/20/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/ifma-foundation-scholarship-program
Iowa Association for Energy Efficiency Scholarship,"$1,000 ",05/24/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/iowa-association-for-energy-efficiency-scholarship
James F. and Marcia L. Schulze Scholarship,"$1,000 ",05/30/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/james-f-and-marcia-l-schulze-scholarship
Jeannette Rankin Women's Scholarship Fund,"$2,000 ",03/18/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/jeannette-rankin-womens-scholarship-fund
Jesse L. Jackson-Fellows Toyota Scholarship ,"$25,000 ",05/01/2021,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/jesse-l-jackson-fellows-toyota-scholarship
Josef Princ Memorial Scholarship ,"$2,000 ",01/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/josef-princ-memorial-scholarship
Joseph James Morelli Legacy Foundation Scholarship,"$2,500 ",03/13/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/joseph-james-morelli-legacy-foundation-scholarship
Kenneth & Margaret Deane Scholarship,"$1,000 ",04/20/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/kenneth-and-margaret-deane-scholarship
Kris Paper Legacy Scholarship For Women In Technology ,"$1,500 ",04/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/kris-paper-legacy-scholarship-for-women-in-technology
Lewis W. Newlan Scholarship,"$2,500 ",02/28/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/lewis-w-newlan-scholarship
Lillian Kitchen and Zella Kitchen Challis Scholarship,"$2,000 ",03/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/lillian-kitchen-and-zella-kitchen-challis-scholarship
Lisa Kaminski Memorial Scholarship,"$2,500 ",01/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/lisa-kaminski-memorial-scholarship
Lockheed Martin STEM Scholarship Program,"$10,000 ",03/12/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/lockheed-martin-stem-scholarship-program
Loren and Becky Roslund Scholarship,"$1,000 ",03/08/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/loren-and-becky-roslund-scholarship
Marquette Savings Bank Scholarship,"$1,000 ",04/20/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/marquette-savings-bank-scholarship
Maryland Tech Council STEM Scholarship,"$4,500 ",03/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/maryland-tech-council-stem-scholarship
Massachusetts High Demand Scholarship Program,"$6,500 ",Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/massachusetts-high-demand-scholarship-program
"Material Handling Education Foundation, Inc. Scholarship","$6,000 ",01/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/material-handling-education-foundation-inc-scholarship
Microsoft Scholarship Program,Varies ,01/26/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/microsoft-scholarship-program
Mike Rowe Work Ethic Scholarship,Varies ,05/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/mike-rowe-work-ethic-scholarship
Minority Scholarship ,"$5,000 ",04/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/minority-scholarship
MIT THINK Scholars Program,$500 ,01/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/mit-think-scholars-program
NACME Scholars (Block Grant) Program ,"$62,500 ",Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/nacme-scholars-block-grant-program
National GEM Consortium Fellowships,"$16,000 ",11/13/2019,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/national-gem-consortium-fellowships
Nellie Martin Carman Scholarship Fund,"$2,000 ",03/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/nellie-martin-carman-scholarship-fund
NSHSS STEM Scholarships,"$1,000 ",04/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/nshss-stem-scholarships
Nutanix Women in Technology Scholarships,"$7,500 ",04/30/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/nutanix-women-in-technology-scholarships
Oregon Space Grant Consortium Scholarship and Fellowship Program,"$5,000 ",05/24/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/oregon-space-grant-consortium-scholarship-and-fellowship-program
